lempos,lemma,PoS_CLAN,n,PoS_type
bolt@part,bolt,part,1,lexical
bolt@v,bolt,v,1,lexical
bomb@n,bomb,n,6,lexical
bomb@v,bomb,v,2,lexical
bombard@part,bombard,part,1,lexical
bon@unk,bon,unk,1,non-lexical
bond@n,bond,n,1,lexical
bone@adj,bone,adj,5,lexical
bone@n,bone,n,36,lexical
bone@part,bone,part,1,lexical
bonecruncher@n:prop,bonecruncher,n:prop,6,non-lexical
bonecrunching@wplay,bonecrunching,wplay,5,non-lexical
bonfire@n,bonfire,n,11,lexical
bongo@n,bongo,n,1,lexical
bonk@n,bonk,n,1,lexical
bonnet@n,bonnet,n,4,lexical
bonus@n,bonus,n,2,lexical
bonzo@n:prop,bonzo,n:prop,1,non-lexical
boo@n,boo,n,28,lexical
boo@v,boo,v,1,lexical
boo@wplay,boo,wplay,3,non-lexical
boo_hoo@co,boo_hoo,co,1,non-lexical
boo_ooooooooo_ooo@co,boo_ooooooooo_ooo,co,1,non-lexical
boob@adj,boob,adj,3,lexical
boogie@n,boogie,n,1,lexical
boogie@v,boogie,v,1,lexical
boogles@wplay,boogles,wplay,1,non-lexical
book@adj,book,adj,1,lexical
book@n,book,n,231,lexical
book@part,book,part,1,lexical
bookcase@n,bookcase,n,2,lexical
boom@co,boom,co,19,non-lexical
boom@n,boom,n,28,lexical
boom@n:gerund,boom,n:gerund,1,lexical
boom@part,boom,part,1,lexical
boom@v,boom,v,10,lexical
boom_boom@on,boom_boom,on,2,non-lexical
boom_schwee@on,boom_schwee,on,1,non-lexical
boomerang@n,boomerang,n,1,lexical
booo@co,booo,co,1,non-lexical
boooo@co,boooo,co,3,non-lexical
booooooo@co,booooooo,co,2,non-lexical
booooooooooooo@co,booooooooooooo,co,2,non-lexical
boooooooop@co,boooooooop,co,1,non-lexical
boooph@on,boooph,on,1,non-lexical
boot@n,boot,n,44,lexical
boot@v,boot,v,1,lexical
bootbogglers@n:prop,bootbogglers,n:prop,1,non-lexical
booth@n,booth,n,2,lexical
bootlaces@n,bootlaces,n,1,lexical
bootling@wplay,bootling,wplay,1,non-lexical
booty@n,booty,n,2,lexical
bop@n,bop,n,4,lexical
bop@v,bop,v,1,lexical
bopmuggered@wplay,bopmuggered,wplay,1,non-lexical
borage@n,borage,n,1,lexical
borborygmos@unk,borborygmos,unk,1,non-lexical
