lempos,lemma,PoS_CLAN,n,PoS_type
chomp@part,chomp,part,6,lexical
chomp@v,chomp,v,7,lexical
chompa@on,chompa,on,6,non-lexical
choose@n:gerund,choose,n:gerund,1,lexical
choose@part,choose,part,11,lexical
choose@v,choose,v,41,lexical
chop@n,chop,n,4,lexical
chop@part,chop,part,7,lexical
chop@v,chop,v,14,lexical
chore@n,chore,n,7,lexical
choreography@n,choreography,n,1,lexical
chortle@part,chortle,part,2,lexical
chortle@v,chortle,v,5,lexical
chorus@n,chorus,n,3,lexical
chorus@v,chorus,v,1,lexical
chris@n:prop,chris,n:prop,3,non-lexical
christmas@adj,christmas,adj,3,lexical
christmas@n,christmas,n,153,lexical
christmas@n:prop,christmas,n:prop,1,non-lexical
christopher@n:prop,christopher,n:prop,16,non-lexical
chuck@v,chuck,v,2,lexical
chuckle@n,chuckle,n,9,lexical
chuckle@part,chuckle,part,5,lexical
chuckle@v,chuckle,v,5,lexical
chuff@part,chuff,part,1,lexical
chug@v,chug,v,4,lexical
chum@n,chum,n,4,lexical
chump@n,chump,n,5,lexical
chunk@adj,chunk,adj,1,lexical
chunk@n,chunk,n,3,lexical
chunter@part,chunter,part,1,lexical
church@n,church,n,10,lexical
churn@n,churn,n,6,lexical
churn@n:gerund,churn,n:gerund,1,lexical
churn@part,churn,part,2,lexical
churn@v,churn,v,7,lexical
chutney@n,chutney,n,1,lexical
cigarette@n,cigarette,n,1,lexical
cin@n:prop,cin,n:prop,3,non-lexical
cincinnati@n:prop,cincinnati,n:prop,1,non-lexical
cincinnati_felt@n:prop,cincinnati_felt,n:prop,1,non-lexical
cinderella@adj,cinderella,adj,3,lexical
cinderella@n:prop,cinderella,n:prop,35,non-lexical
cinders@n:prop,cinders,n:prop,1,non-lexical
cindy@n:prop,cindy,n:prop,1,non-lexical
cinema@n,cinema,n,4,lexical
cinnamon@n,cinnamon,n,2,lexical
circle@n,circle,n,26,lexical
circle@part,circle,part,4,lexical
circle@v,circle,v,7,lexical
circumference@n,circumference,n,2,lexical
circumstance@n,circumstance,n,1,lexical
circus@n,circus,n,6,lexical
citizen@n,citizen,n,1,lexical
city@n,city,n,24,lexical
civil@adj,civil,adj,1,lexical
clack@v,clack,v,2,lexical
claim@n,claim,n,1,lexical
claim@part,claim,part,2,lexical
claim@v,claim,v,2,lexical
clamber@n:gerund,clamber,n:gerund,1,lexical
clamber@part,clamber,part,1,lexical
clamber@v,clamber,v,15,lexical
clamor@v,clamor,v,1,lexical
clamp@part,clamp,part,1,lexical
clamp@v,clamp,v,3,lexical
clan@n,clan,n,1,lexical
clang@n,clang,n,2,lexical
clang@part,clang,part,1,lexical
clang@v,clang,v,1,lexical
clank@part,clank,part,1,lexical
clap@n,clap,n,19,lexical
clap@n:gerund,clap,n:gerund,1,lexical
clap@part,clap,part,8,lexical
clap@v,clap,v,12,lexical
clara@adj,clara,adj,11,lexical
clara@n:prop,clara,n:prop,30,non-lexical
clare@adj,clare,adj,1,lexical
clare@n:prop,clare,n:prop,16,non-lexical
clasp@n,clasp,n,1,lexical
clasp@v,clasp,v,4,lexical
class@n,class,n,58,lexical
classic@adj,classic,adj,1,lexical
classic@n,classic,n,1,lexical
clatter@n,clatter,n,2,lexical
clatter@n:gerund,clatter,n:gerund,1,lexical
clatter@part,clatter,part,2,lexical
clatter@v,clatter,v,1,lexical
claw@n,claw,n,22,lexical
claw@part,claw,part,1,lexical
claw@v,claw,v,1,lexical
clay@n,clay,n,1,lexical
clean@adj,clean,adj,20,lexical
clean@n,clean,n,7,lexical
clean@n:gerund,clean,n:gerund,4,lexical
clean@part,clean,part,11,lexical
clean@v,clean,v,38,lexical
clear@adj,clear,adj,15,lexical
clear@adv,clear,adv,31,lexical
clear@n,clear,n,12,lexical
clear@part,clear,part,4,lexical
clear@v,clear,v,5,lexical
clearing@n,clearing,n,17,lexical
clematis@n,clematis,n,1,lexical
clench@part,clench,part,1,lexical
clench@v,clench,v,1,lexical
clever@adj,clever,adj,52,lexical
clever@adv,clever,adv,2,lexical
click@n,click,n,10,lexical
click@part,click,part,2,lexical
click@v,click,v,3,lexical
click_scuff@on,click_scuff,on,1,non-lexical
clickety_click@on,clickety_click,on,2,non-lexical
client@n,client,n,1,lexical
cliff@n,cliff,n,18,lexical
climb@n,climb,n,2,lexical
climb@n:gerund,climb,n:gerund,1,lexical
climb@part,climb,part,25,lexical
climb@v,climb,v,80,lexical
cling@part,cling,part,3,lexical
cling@v,cling,v,4,lexical
clink@v,clink,v,1,lexical
clinophobia@n,clinophobia,n,1,lexical
clip@n,clip,n,1,lexical
clip@v,clip,v,1,lexical
cloak@n,cloak,n,15,lexical
cloak@v,cloak,v,1,lexical
clobber@v,clobber,v,1,lexical
clock@n,clock,n,26,lexical
clock@part,clock,part,1,lexical
clock@v,clock,v,1,lexical
clockwork@n,clockwork,n,1,lexical
clog@n,clog,n,4,lexical
clog@v,clog,v,6,lexical
clonk@n,clonk,n,2,lexical
clop@on,clop,on,3,non-lexical
close@adj,close,adj,70,lexical
close@adv,close,adv,11,lexical
close@n,close,n,9,lexical
close@part,close,part,15,lexical
close@v,close,v,63,lexical
cloth@n,cloth,n,9,lexical
clothes@n:pt,clothes,n:pt,58,lexical
clothing@n,clothing,n,2,lexical
cloud@adj,cloud,adj,1,lexical
cloud@n,cloud,n,46,lexical
clove@n,clove,n,1,lexical
clover@n,clover,n,4,lexical
club@n,club,n,44,lexical
club@v,club,v,1,lexical
cluck_cluck_cluck@on,cluck_cluck_cluck,on,1,non-lexical
cluck_cluck_cluck_cluck_cluck@on,cluck_cluck_cluck_cluck_cluck,on,1,non-lexical
clue@n,clue,n,17,lexical
clump@n,clump,n,5,lexical
clump@on,clump,on,4,non-lexical
clump@part,clump,part,2,lexical
clumpa@on,clumpa,on,4,non-lexical
clumpety_clumpety_clump@on,clumpety_clumpety_clump,on,1,non-lexical
clumsy@adj,clumsy,adj,2,lexical
clunk@v,clunk,v,3,lexical
cluster@n,cluster,n,1,lexical
cluster@part,cluster,part,1,lexical
clutch@part,clutch,part,15,lexical
clutch@v,clutch,v,8,lexical
coach@n,coach,n,21,lexical
coach@v,coach,v,1,lexical
coal@n,coal,n,6,lexical
coast@n,coast,n,3,lexical
coastline@n,coastline,n,1,lexical
coat@n,coat,n,40,lexical
coax@v,coax,v,5,lexical
cob@n,cob,n,4,lexical
cobblestone@n,cobblestone,n,1,lexical
cobra@n,cobra,n,1,lexical
cock@n,cock,n,1,lexical
cock_a_doodle_do@on,cock_a_doodle_do,on,1,non-lexical
cockatootloo@wplay,cockatootloo,wplay,1,non-lexical
cockerel@adj,cockerel,adj,1,lexical
cockerel@n,cockerel,n,7,lexical
cockerelitis@wplay,cockerelitis,wplay,1,non-lexical
cockle@n,cockle,n,2,lexical
cockroach@n,cockroach,n,1,lexical
cocoa@n,cocoa,n,17,lexical
coconut@n,coconut,n,3,lexical
cocoon@n,cocoon,n,2,lexical
cod@n,cod,n,1,lexical
code@n,code,n,3,lexical
coffee@n,coffee,n,17,lexical
coffin@n,coffin,n,19,lexical
cog@n,cog,n,6,lexical
coil@n,coil,n,2,lexical
coil@part,coil,part,2,lexical
coil@v,coil,v,1,lexical
coin@n,coin,n,23,lexical
coin@v,coin,v,1,lexical
coke@n,coke,n,1,lexical
coke@n:prop,coke,n:prop,1,non-lexical
cola@n,cola,n,3,lexical
cold@adj,cold,adj,45,lexical
cold@adv,cold,adv,23,lexical
cold@n,cold,n,28,lexical
cole@adj,cole,adj,1,lexical
colin@n:prop,colin,n:prop,12,non-lexical
collapse@v,collapse,v,2,lexical
collar@adj,collar,adj,2,lexical
collar@n,collar,n,6,lexical
collect@part,collect,part,7,lexical
collect@v,collect,v,17,lexical
collection@n,collection,n,11,lexical
collector@adj,collector,adj,1,lexical
collide@v,collide,v,1,lexical
collie@n,collie,n,2,lexical
collingsworth@n:prop,collingsworth,n:prop,9,non-lexical
color@adj,color,adj,4,lexical
color@n,color,n,75,lexical
color@n:gerund,color,n:gerund,1,lexical
color@part,color,part,22,lexical
color@v,color,v,16,lexical
colossal@adj,colossal,adj,6,lexical
columbine@n,columbine,n,1,lexical
comb@n,comb,n,7,lexical
comb@part,comb,part,1,lexical
comb@v,comb,v,2,lexical
combine@part,combine,part,1,lexical
come@n,come,n,15,lexical
come@n:gerund,come,n:gerund,4,lexical
come@part,come,part,160,lexical
come@v,come,v,853,lexical
comet@n,comet,n,1,lexical
comfort@adj,comfort,adj,27,lexical
comfort@adv,comfort,adv,11,lexical
comfort@n,comfort,n,5,lexical
comfort@v,comfort,v,1,lexical
comfy@adj,comfy,adj,8,lexical
comic@adj,comic,adj,3,lexical
comic@n,comic,n,21,lexical
command@n,command,n,11,lexical
command@part,command,part,2,lexical
command@v,command,v,2,lexical
commemorate@adj,commemorate,adj,1,lexical
comment@n,comment,n,2,lexical
comment@v,comment,v,1,lexical
commit@part,commit,part,1,lexical
commit@v,commit,v,2,lexical
common@adj,common,adj,6,lexical
commotion@n,commotion,n,3,lexical
communicate@n,communicate,n,1,lexical
communicate@v,communicate,v,1,lexical
commute@n,commute,n,2,lexical
companion@n,companion,n,3,lexical
company@n,company,n,19,lexical
compare@v,compare,v,6,lexical
comparison@n,comparison,n,1,lexical
compassion@n,compassion,n,1,lexical
compete@v,compete,v,3,lexical
competition@n,competition,n,3,lexical
competitive@adj,competitive,adj,1,lexical
competitor@n,competitor,n,1,lexical
complain@part,complain,part,2,lexical
complain@v,complain,v,14,lexical
complaint@n,complaint,n,1,lexical
complete@adj,complete,adj,7,lexical
complete@adv,complete,adv,31,lexical
complete@part,complete,part,3,lexical
complete@v,complete,v,6,lexical
complicate@part,complicate,part,2,lexical
compliment@n,compliment,n,2,lexical
complimentary@adj,complimentary,adj,1,lexical
compose@part,compose,part,2,lexical
composure@n,composure,n,2,lexical
compute@n,compute,n,6,lexical
con@n:prop,con,n:prop,2,non-lexical
concentrate@n,concentrate,n,3,lexical
concentrate@part,concentrate,part,3,lexical
concentrate@v,concentrate,v,2,lexical
concern@n,concern,n,1,lexical
concern@part,concern,part,4,lexical
concert@n,concert,n,1,lexical
conclusion@n,conclusion,n,1,lexical
concoction@n,concoction,n,1,lexical
concrete@n,concrete,n,2,lexical
concussion@n,concussion,n,3,lexical
condition@n,condition,n,4,lexical
conduct@part,conduct,part,1,lexical
conductor@n,conductor,n,1,lexical
cone@n,cone,n,6,lexical
conference@n,conference,n,2,lexical
confess@v,confess,v,1,lexical
confetti@n,confetti,n,2,lexical
confide@v,confide,v,1,lexical
confidence@n,confidence,n,1,lexical
confident@adv,confident,adv,2,lexical
confirm@v,confirm,v,1,lexical
confiscate@part,confiscate,part,1,lexical
confuse@part,confuse,part,4,lexical
confusion@n,confusion,n,2,lexical
conga@n,conga,n,3,lexical
congo@n:prop,congo,n:prop,1,non-lexical
congratulate@n,congratulate,n,3,lexical
congratulate@v,congratulate,v,3,lexical
conjure@n,conjure,n,1,lexical
conjure@part,conjure,part,2,lexical
conk@n,conk,n,1,lexical
conqueror@n,conqueror,n,1,lexical
consequence@n,consequence,n,1,lexical
conservatory@n,conservatory,n,2,lexical
conserve@n,conserve,n,1,lexical
consider@adj,consider,adj,1,lexical
consider@adv,consider,adv,1,non-lexical
consider@part,consider,part,5,lexical
consider@v,consider,v,5,lexical
console@adj,console,adj,1,lexical
constant@adv,constant,adv,1,lexical
constant@n,constant,n,1,lexical
constantinople_felt@n:prop,constantinople_felt,n:prop,1,non-lexical
consternation@n,consternation,n,1,lexical
constrictor@n,constrictor,n,1,lexical
construct@n:gerund,construct,n:gerund,1,lexical
construct@v,construct,v,1,lexical
consult@part,consult,part,1,lexical
consult@v,consult,v,5,lexical
consume@part,consume,part,2,lexical
contact@n,contact,n,1,lexical
contact@v,contact,v,1,lexical
contain@part,contain,part,6,lexical
contain@v,contain,v,6,lexical
contemporary@adj,contemporary,adj,1,lexical
contemptuous@adv,contemptuous,adv,2,lexical
content@adj,content,adj,1,lexical
content@adv,content,adv,2,lexical
content@n,content,n,4,lexical
content@part,content,part,1,lexical
content@v,content,v,2,lexical
contest@n,contest,n,1,lexical
continue@part,continue,part,4,lexical
continue@v,continue,v,17,lexical
contraption@n,contraption,n,3,lexical
contrary@n,contrary,n,1,lexical
contribute@part,contribute,part,1,lexical
contrive@n,contrive,n,1,lexical
control@n,control,n,3,lexical
control@v,control,v,3,lexical
conundrum@n,conundrum,n,1,lexical
convenient@adj,convenient,adj,1,lexical
converse@n,converse,n,8,lexical
converse@part,converse,part,2,lexical
convince@part,convince,part,3,lexical
convince@v,convince,v,4,lexical
convulsion@n,convulsion,n,1,lexical
coo@v,coo,v,1,lexical
cooeee@co,cooeee,co,10,non-lexical
cook@n,cook,n,10,lexical
cook@n:gerund,cook,n:gerund,1,lexical
cook@part,cook,part,8,lexical
cook@v,cook,v,19,lexical
cookie@n,cookie,n,2,lexical
cool@adj,cool,adj,24,lexical
cool@part,cool,part,1,lexical
cool@v,cool,v,13,lexical
coooeeee@co,coooeeee,co,2,non-lexical
cooperative@adj,cooperative,adj,1,lexical
coordinate@v,coordinate,v,1,lexical
cop@unk,cop,unk,1,non-lexical
cope@v,cope,v,1,lexical
copper@n,copper,n,2,lexical
coprolite@n,coprolite,n,1,lexical
copy@n,copy,n,5,lexical
copy@part,copy,part,2,lexical
copy@v,copy,v,7,lexical
coral@n,coral,n,3,lexical
cord@n,cord,n,1,lexical
cordial@adj,cordial,adj,1,lexical
core@n,core,n,1,lexical
corgi@n,corgi,n,7,lexical
cork@n,cork,n,5,lexical
cork@v,cork,v,1,lexical
corn@n,corn,n,29,lexical
corner@n,corner,n,66,lexical
corner@v,corner,v,1,lexical
cornet@n,cornet,n,3,lexical
corpse@n,corpse,n,4,lexical
correct@adj,correct,adj,4,lexical
correct@adv,correct,adv,1,lexical
correct@part,correct,part,1,lexical
corridor@n,corridor,n,15,lexical
cost@part,cost,part,1,lexical
cost@v,cost,v,5,lexical
costume@n,costume,n,27,lexical
costume@v,costume,v,1,lexical
cosy@adj,cosy,adj,14,lexical
cot@n,cot,n,17,lexical
cote@unk,cote,unk,1,non-lexical
cottage@n,cottage,n,26,lexical
cotton@n,cotton,n,6,lexical
couch@n,couch,n,3,lexical
cough@n,cough,n,3,lexical
cough@n:gerund,cough,n:gerund,2,lexical
cough@part,cough,part,8,lexical
cough@v,cough,v,5,lexical
could@mod,could,mod,908,non-lexical
council@n,council,n,1,lexical
count@n,count,n,6,lexical
count@n:gerund,count,n:gerund,4,lexical
count@part,count,part,10,lexical
count@v,count,v,29,lexical
counter@n,counter,n,7,lexical
country@n,country,n,62,lexical
couple@n,couple,n,29,lexical
courage@n,courage,n,5,lexical
courageous@adj,courageous,adj,1,lexical
course@n,course,n,166,lexical
court@n,court,n,9,lexical
courtier@n,courtier,n,1,lexical
courtyard@n,courtyard,n,12,lexical
cousin@n,cousin,n,56,lexical
covens@wplay,covens,wplay,1,non-lexical
cover@n,cover,n,19,lexical
cover@part,cover,part,28,lexical
cover@v,cover,v,48,lexical
cow@adj,cow,adj,10,lexical
cow@n,cow,n,109,lexical
coward@n,coward,n,1,lexical
cowherd@n,cowherd,n,1,lexical
coy@adj,coy,adj,1,lexical
cr_eeeak@on,cr_eeeak,on,1,non-lexical
crab@adj,crab,adj,5,lexical
crab@n,crab,n,20,lexical
crabtree@n:prop,crabtree,n:prop,5,non-lexical
crack@n,crack,n,9,lexical
crack@n:gerund,crack,n:gerund,1,lexical
crack@part,crack,part,4,lexical
crack@v,crack,v,4,lexical
cracker@n,cracker,n,2,lexical
crackety@wplay,crackety,wplay,1,non-lexical
crackle@adj,crackle,adj,1,lexical
crackle@n,crackle,n,1,lexical
crackle@n:gerund,crackle,n:gerund,1,lexical
crackle@part,crackle,part,2,lexical
crackle@v,crackle,v,1,lexical
craft@adj,craft,adj,1,lexical
craft@adv,craft,adv,1,non-lexical
craft@n,craft,n,2,lexical
crag@adj,crag,adj,4,lexical
cramp@v,cramp,v,1,lexical
crane@n,crane,n,12,lexical
crane@part,crane,part,2,lexical
crank@adj,crank,adj,3,lexical
cranny@n,cranny,n,3,lexical
crash@adj,crash,adj,8,lexical
crash@n,crash,n,22,lexical
crash@n:gerund,crash,n:gerund,1,lexical
crash@part,crash,part,6,lexical
crash@v,crash,v,9,lexical
crate@n,crate,n,4,lexical
crater@n,crater,n,2,lexical
crave@v,crave,v,1,lexical
crawl@n,crawl,n,6,lexical
crawl@part,crawl,part,14,lexical
crawl@v,crawl,v,13,lexical
crax@wplay,crax,wplay,3,non-lexical
crayon@n,crayon,n,33,lexical
craze@adj,craze,adj,30,lexical
craze@adv,craze,adv,1,non-lexical
craze@n,craze,n,1,lexical
creak@n,creak,n,3,lexical
creak@part,creak,part,2,lexical
creak@v,creak,v,1,lexical
cream@adj,cream,adj,6,lexical
cream@n,cream,n,51,lexical
cream@v,cream,v,1,lexical
crease@n,crease,n,4,lexical
create@n,create,n,3,lexical
create@part,create,part,3,lexical
create@v,create,v,10,lexical
creative@adj,creative,adj,1,lexical
creative@n,creative,n,1,lexical
creature@n,creature,n,55,lexical
creche@n,creche,n,5,lexical
credible@adj,credible,adj,10,lexical
creed@n,creed,n,1,lexical
creek@n,creek,n,2,lexical
creep@adj,creep,adj,14,lexical
creep@n,creep,n,6,lexical
creep@n:gerund,creep,n:gerund,1,lexical
creep@part,creep,part,12,lexical
creep@v,creep,v,29,lexical
creepy_crawly@n,creepy_crawly,n,3,non-lexical
creme_brulee@n,creme_brulee,n,1,non-lexical
crescent@n,crescent,n,2,lexical
cress@n,cress,n,1,lexical
cressida@n:prop,cressida,n:prop,10,non-lexical
crestfallen@adj,crestfallen,adj,1,lexical
crevice@n,crevice,n,2,lexical
crew@n,crew,n,3,lexical
cricket@n,cricket,n,12,lexical
crime@adj,crime,adj,1,lexical
crime@n,crime,n,10,lexical
criminal@adj,criminal,adj,2,lexical
criminal@n,criminal,n,1,lexical
crimson@n,crimson,n,1,lexical
crinkle@v,crinkle,v,2,lexical
crisis@n,crisis,n,1,lexical
crisp@adj,crisp,adj,4,lexical
crisp@n,crisp,n,32,lexical
criss_cross@adj,criss_cross,adj,7,non-lexical
croak@n,croak,n,4,lexical
croak@n:gerund,croak,n:gerund,1,lexical
croak@part,croak,part,1,lexical
croak@v,croak,v,4,lexical
croc@n,croc,n,2,lexical
crock@n,crock,n,7,lexical
crock@v,crock,v,1,lexical
crockadowndillies@wplay,crockadowndillies,wplay,2,non-lexical
crockery@n,crockery,n,1,lexical
crocodile@n,crocodile,n,17,lexical
crodscollop@wplay,crodscollop,wplay,1,non-lexical
crodsquinkled@wplay,crodsquinkled,wplay,1,non-lexical
crodswoggle@wplay,crodswoggle,wplay,1,non-lexical
cromwell@adj,cromwell,adj,2,lexical
cromwell@n:prop,cromwell,n:prop,20,non-lexical
cromwells@n:prop,cromwells,n:prop,4,non-lexical
cronking@wplay,cronking,wplay,1,non-lexical
crook@part,crook,part,1,lexical
crooked@adj,crooked,adj,14,lexical
crop@v,crop,v,2,lexical
croquet@n,croquet,n,2,lexical
cross@adj,cross,adj,32,lexical
cross@adv,cross,adv,6,lexical
cross@n,cross,n,35,lexical
cross@n:gerund,cross,n:gerund,3,lexical
cross@part,cross,part,12,lexical
cross@v,cross,v,26,lexical
crotching@wplay,crotching,wplay,1,non-lexical
crouch@n,crouch,n,3,lexical
crouch@part,crouch,part,8,lexical
crouch@v,crouch,v,13,lexical
crow@n,crow,n,8,lexical
crow@n:gerund,crow,n:gerund,1,lexical
crow@part,crow,part,1,lexical
crowd@n,crowd,n,39,lexical
crowd@part,crowd,part,2,lexical
crowd@v,crowd,v,2,lexical
crown@adj,crown,adj,1,lexical
crown@n,crown,n,39,lexical
crown@v,crown,v,1,lexical
crudites@n,crudites,n,1,lexical
cruel@adj,cruel,adj,5,lexical
cruel@adv,cruel,adv,1,lexical
cruelty@n,cruelty,n,3,lexical
cruise@n,cruise,n,2,lexical
crumb@n,crumb,n,17,lexical
crumble@v,crumble,v,3,lexical
crumblehampton@n:prop,crumblehampton,n:prop,1,non-lexical
crumpet@n,crumpet,n,3,lexical
crumple@adj,crumple,adj,1,lexical
crumple@part,crumple,part,4,lexical
crumple@v,crumple,v,3,lexical
crumpscoddle@n:prop,crumpscoddle,n:prop,1,non-lexical
crunch@adj,crunch,adj,8,lexical
crunch@n,crunch,n,21,lexical
crunch@n:gerund,crunch,n:gerund,3,lexical
crunch@part,crunch,part,5,lexical
crunch@v,crunch,v,4,lexical
crunk@on,crunk,on,1,non-lexical
crusade@n,crusade,n,1,lexical
crush@n,crush,n,1,lexical
crust@n,crust,n,5,lexical
cry@n,cry,n,9,lexical
cry@n:gerund,cry,n:gerund,1,lexical
cry@part,cry,part,117,lexical
cry@v,cry,v,297,lexical
crystal@adj,crystal,adj,5,lexical
crystal@n,crystal,n,36,lexical
cs@meta,cs,meta,7,non-lexical
cub@n,cub,n,2,lexical
cuckoo@n,cuckoo,n,4,lexical
cucumber@n,cucumber,n,2,lexical
cuddle@adj,cuddle,adj,2,lexical
cuddle@n,cuddle,n,1,lexical
cuddle@v,cuddle,v,4,lexical
cudgel@n,cudgel,n,2,lexical
cue@n,cue,n,2,lexical
cuff@v,cuff,v,1,lexical
cumbersome@adj,cumbersome,adj,1,lexical
cummerbund@n,cummerbund,n,2,lexical
cunning@adj,cunning,adj,6,lexical
cup@n,cup,n,63,lexical
cup@v,cup,v,4,lexical
cupboard@n,cupboard,n,45,lexical
cupcake@n,cupcake,n,2,lexical
cuppy@wplay,cuppy,wplay,2,non-lexical
curb@n,curb,n,4,lexical
curdbloodling@wplay,curdbloodling,wplay,1,non-lexical
curdle@part,curdle,part,5,lexical
cure@n,cure,n,7,lexical
cure@part,cure,part,3,lexical
cure@v,cure,v,3,lexical
curiosity@n,curiosity,n,3,lexical
curious@adj,curious,adj,14,lexical
curious@adv,curious,adv,3,lexical
curl@adj,curl,adj,5,lexical
curl@n,curl,n,3,lexical
curl@n:gerund,curl,n:gerund,1,lexical
curl@part,curl,part,5,lexical
curl@v,curl,v,15,lexical
currant@adj,currant,adj,1,lexical
currant@n,currant,n,7,lexical
current@n,current,n,1,lexical
curry@n,curry,n,1,lexical
curse@n,curse,n,23,lexical
curse@part,curse,part,1,lexical
curse@v,curse,v,2,lexical
curt@adv,curt,adv,1,lexical
curtain@n,curtain,n,35,lexical
curtsey@n,curtsey,n,3,lexical
curtsey@part,curtsey,part,3,lexical
curtsey@v,curtsey,v,1,lexical
curtsy@n,curtsy,n,1,lexical
curve@part,curve,part,3,lexical
curve@v,curve,v,1,lexical
cushion@n,cushion,n,19,lexical
cushion@v,cushion,v,1,lexical
cushy@adj,cushy,adj,2,lexical
custard@n,custard,n,2,lexical
custom@n,custom,n,2,lexical
customer@n,customer,n,7,lexical
cut@n,cut,n,17,lexical
cut@n:gerund,cut,n:gerund,2,lexical
cut@part,cut,part,9,lexical
cut@v,cut,v,46,lexical
cute@n,cute,n,1,lexical
cutlass@n,cutlass,n,2,lexical
cutlery@n,cutlery,n,1,lexical
cy@n:prop,cy,n:prop,16,non-lexical
cycle@n,cycle,n,3,lexical
cycle@part,cycle,part,2,lexical
cycle@v,cycle,v,1,lexical
cylinder@n,cylinder,n,1,lexical
cyril@n:prop,cyril,n:prop,14,non-lexical
d'azur@unk,d'azur,unk,1,non-lexical
d@n:let,d,n:let,9,non-lexical
da@co,da,co,21,non-lexical
dab@v,dab,v,1,lexical
dabble@v,dabble,v,2,lexical
dace@n,dace,n,1,lexical
dachshund@n,dachshund,n,2,lexical
dad@adj,dad,adj,21,lexical
dad@n,dad,n,433,lexical
dadd_ddy@wplay,dadd_ddy,wplay,1,non-lexical
daddy@adj,daddy,adj,13,lexical
daddy@n,daddy,n,132,lexical
daft@adj,daft,adj,3,lexical
dahl@adj,dahl,adj,2,lexical
dahl@n:prop,dahl,n:prop,1,non-lexical
daily@adj,daily,adj,5,lexical
dainty@adj,dainty,adj,7,lexical
dairy@n,dairy,n,12,lexical
daisy@n,daisy,n,5,lexical
dally@wplay,dally,wplay,1,non-lexical
damage@n,damage,n,1,lexical
damask@adj,damask,adj,1,lexical
damp@adj,damp,adj,7,lexical
dan@n:prop,dan,n:prop,8,non-lexical
dance@n,dance,n,52,lexical
dance@n:gerund,dance,n:gerund,3,lexical
dance@part,dance,part,31,lexical
dance@v,dance,v,26,lexical
dandruff@n,dandruff,n,3,lexical
dandy@adj,dandy,adj,1,lexical
danes@n:prop,danes,n:prop,5,non-lexical
dang@adv,dang,adv,2,non-lexical
danger@n,danger,n,4,lexical
dangerous@adj,dangerous,adj,12,lexical
dangerous@adv,dangerous,adv,1,lexical
dangle@n:gerund,dangle,n:gerund,1,lexical
dangle@part,dangle,part,5,lexical
dangle@v,dangle,v,1,lexical
daniel@adj,daniel,adj,3,lexical
daniel@n:prop,daniel,n:prop,16,non-lexical
danny@adj,danny,adj,1,lexical
danny@n:prop,danny,n:prop,24,non-lexical
darblet@n:prop,darblet,n:prop,1,non-lexical
dare@mod,dare,mod,16,non-lexical
dare@n:gerund,dare,n:gerund,3,lexical
dare@part,dare,part,12,lexical
dare@v,dare,v,13,lexical
dark@adj,dark,adj,105,lexical
dark@adv,dark,adv,1,lexical
dark@n,dark,n,163,lexical
darken@v,darken,v,1,lexical
darksome@wplay,darksome,wplay,1,non-lexical
darling@adj,darling,adj,6,lexical
darling@co,darling,co,2,non-lexical
darling@n,darling,n,2,lexical
darn@n,darn,n,1,lexical
dart@part,dart,part,1,lexical
dart@v,dart,v,6,lexical
dash@n,dash,n,3,lexical
dash@v,dash,v,27,lexical
date@n,date,n,6,lexical
daughter@adj,daughter,adj,1,lexical
daughter@n,daughter,n,19,lexical
dave@adj,dave,adj,7,lexical
dave@n:prop,dave,n:prop,56,non-lexical
davenport_martins@n:prop,davenport_martins,n:prop,1,non-lexical
david_harrison@n:prop,david_harrison,n:prop,1,non-lexical
david_henry_wilson@n:prop,david_henry_wilson,n:prop,1,non-lexical
david_mckee@n:prop,david_mckee,n:prop,1,non-lexical
dawdle@part,dawdle,part,1,lexical
dawn@n,dawn,n,6,lexical
dawn@part,dawn,part,1,lexical
dawn@v,dawn,v,2,lexical
day@adj,day,adj,4,lexical
day@n,day,n,488,lexical
day@part,day,part,1,lexical
day_glo@n:prop,day_glo,n:prop,3,non-lexical
daybreak@n,daybreak,n,1,lexical
daylight@n,daylight,n,9,lexical
daze@part,daze,part,2,lexical
dazzle@v,dazzle,v,2,lexical
dcm@unk,dcm,unk,1,non-lexical
dead@adj,dead,adj,71,lexical
dead@adv,dead,adv,4,lexical
deadly@adj,deadly,adj,5,lexical
deadstock@wplay,deadstock,wplay,1,non-lexical
deaf@adj,deaf,adj,1,lexical
deafen@n:gerund,deafen,n:gerund,1,lexical
deafen@part,deafen,part,1,lexical
deal@n,deal,n,15,lexical
deal@part,deal,part,1,lexical
deal@v,deal,v,1,lexical
dear@adj,dear,adj,44,lexical
dear@adv,dear,adv,3,lexical
dear@co,dear,co,72,non-lexical
dear@n,dear,n,33,lexical
dearie@co,dearie,co,2,non-lexical
death@adj,death,adj,2,lexical
death@n,death,n,24,lexical
debate@v,debate,v,1,lexical
debbie@adj,debbie,adj,3,lexical
debbie@n:prop,debbie,n:prop,15,non-lexical
deborah@adj,deborah,adj,1,lexical
deborah@n:prop,deborah,n:prop,11,non-lexical
decade@n,decade,n,1,lexical
december@n:prop,december,n:prop,7,non-lexical
decide@part,decide,part,15,lexical
decide@v,decide,v,72,lexical
decision@n,decision,n,4,lexical
decisive@adj,decisive,adj,2,lexical
deck@n,deck,n,8,lexical
declare@part,declare,part,2,lexical
declare@v,declare,v,14,lexical
decline@part,decline,part,1,lexical
decorate@n,decorate,n,6,lexical
decorate@part,decorate,part,4,lexical
